CMLB	1	219	8e55d24d70bd86dd
tier	name	lat	lon	detail
1	Girgaum Chowpatty Beach	18.954839	72.811418	
1	Indian National Kennel Club	18.928333	72.827871	
1	Mangaldas Market	18.947974	72.832347	
1	Madh Chowpatty	19.151431	72.786929	
1	Marine Drive	18.928365	72.820738	
1	Flamingo Point	18.995589	72.861522	
1	Jai Kisan Mandai	19.062762	72.898017	
1	Sujona chembers	19.049679	72.914688	
1	Astro Park-Dadar Salvation Turf	19.017513	72.835043	
1	Kwan Tai Shek Temple	18.966050	72.846772	
1	Vedic Park	19.132888	72.898249	
1	Chhatrapati Shivaji Maharaj Vastu Sangrahalaya	18.926801	72.832572	
1	Asiatic Society Town Hall	18.931801	72.836265	
1	National Centre for the Performing Arts	18.925735	72.819786	
1	Royal Opera House	18.956048	72.815571	
1	Jehangir Art Gallery	18.927399	72.831706	
1	Mani Bhavan	18.959910	72.811500	
1	Dr. Bhau Daji Lad Museum	18.979227	72.834824	
1	Nehru Science Centre	18.991031	72.819054	
1	Prithvi Theatre	19.106189	72.825644	
1	Nehru Planetarium	18.990673	72.818600	
1	Metro INOX Cinema	18.942856	72.829091	
1	National Gallery of Modern Art	18.925838	72.831385	
1	The Asiatic Society of Mumbai	18.932147	72.836264	
1	Experimental Theatre	18.925525	72.820080	
1	Maratha Mandir Theatre	18.971119	72.822141	
1	Bhau Daji Lad Museum (Victoria & Albert Museum)	18.979164	72.834801	
1	Sir David Sassoon Library	18.927691	72.831155	
1	Sterling Theatre	18.938423	72.832946	
1	Jamshed Bhabha Theatre	18.925029	72.819857	
1	Chemould Prescott Road	18.935378	72.832187	
1	The Bombay Art Society	19.051696	72.832746	
1	Paradox Museum	18.936286	72.831787	
1	Nita Mukesh Ambani Cultural Centre	19.065378	72.867007	
1	Fine Arts Society and Cultural Center	19.061027	72.897065	
1	Custard Apple Pictures	19.136851	72.832585	
1	Roxy Cinemas	18.955277	72.816446	
1	Carnival Cinemas	19.031537	72.881194	
1	Municipal Amphitheatre	19.237482	72.849850	
1	Read And Share Library	19.153709	72.944812	
1	Infiniti Mall	19.141251	72.831056	
1	Pherozeshah Mehta Gardens (Hanging Gardens)	18.956582	72.804798	
1	Horniman Circle Garden	18.932004	72.835009	
1	Maharashtra Nature Park	19.052477	72.861859	
1	Priyadarshini Park	18.958239	72.799419	
1	Joggers' Park	19.059863	72.821418	
1	Garden A, Five Gardens	19.020198	72.853102	
1	Shivaji Park	19.026769	72.836669	
1	Shivaji Park	19.026667	72.838347	
1	August Kranti Maidan	18.962498	72.809752	
1	Hutatma Chowk	18.932789	72.831603	
1	Poisar Gymkhana	19.211117	72.844913	
1	BMC Park	19.140329	72.813764	
1	Mumbai Port Trust Garden	18.910881	72.823379	
1	Malla Park	19.063696	72.826028	
1	Homi Bhabha Park	19.036758	72.925234	
1	Shree Duttguru Sangharsh Park	19.216694	72.818259	
1	Sardar Pratap Singh Garden	19.180673	72.938752	
1	Racecourse Ground	18.984051	72.819531	
1	Dinkar Park	19.079067	72.844054	
1	BWSL Promenade	19.047227	72.831324	
